股票代码,股票简称,现价(元),涨跌幅(%),加权净资产收益率(%)2018.12.31,加权净资产收益率(%)2017.12.31,加权净资产收益率(%)2016.12.31,加权净资产收益率(%)2015.12.31,加权净资产收益率(%)2014.12.31,净利润现金含量占比(%)2018.12.31,净利润现金含量占比(%)2017.12.31,净利润现金含量占比(%)2016.12.31,净利润现金含量占比(%)2015.12.31,净利润现金含量占比(%)2014.12.31,销售毛利率(%)2018.12.31,销售毛利率(%)2017.12.31,销售毛利率(%)2016.12.31,销售毛利率(%)2015.12.31,销售毛利率(%)2014.12.31
600566.SH,济川药业,21.87,0.60,34.74,31.78,29.95,28.57,26.20,101.26,97.16,97.74,94.01,118.62,84.79,84.95,85.24,84.34,84.30
600519.SH,贵州茅台,1139.79,-0.46,34.46,32.95,24.44,26.23,31.96,117.56,81.81,224.01,112.47,82.30,91.14,89.80,91.23,92.23,92.59
603288.SH,海天味业,127.90,2.83,32.66,31.12,32.00,32.00,33.00,137.38,133.68,143.29,87.46,131.05,46.47,45.69,43.95,41.94,40.41
603658.SH,安图生物,117.41,0.57,32.20,27.68,32.22,46.36,49.97,116.20,107.88,118.89,111.01,123.39,66.38,67.49,71.98,72.77,73.07
002372.SZ,伟星新材,10.84,-0.73,29.45,28.19,26.15,21.46,19.12,97.80,115.17,144.51,102.70,132.37,46.77,46.72,46.55,43.82,41.06
603568.SH,伟明环保,28.04,-1.75,28.74,24.24,18.23,21.48,25.53,100.52,131.10,130.26,157.02,180.16,60.30,61.29,62.06,66.06,66.49
600763.SH,通策医疗,108.90,-0.27,28.66,23.39,18.17,26.52,19.17,141.35,160.02,118.23,153.15,116.95,43.29,41.36,41.41,39.80,39.31
603444.SH,吉比特,395.04,-3.18,28.05,29.58,78.90,43.74,67.72,125.12,132.68,135.34,106.66,105.30,92.24,90.87,95.99,96.44,96.86
300628.SZ,亿联网络,86.28,1.51,26.90,26.67,71.36,74.51,59.41,80.28,87.27,81.01,92.94,86.54,61.79,62.08,63.13,58.63,55.26
300357.SZ,我武生物,43.40,0.93,26.63,25.55,21.02,21.98,21.63,88.65,85.51,95.02,97.45,84.08,94.30,96.35,96.30,95.09,95.94
002508.SZ,老板电器,28.16,-0.46,26.40,31.66,33.38,29.10,25.55,102.40,87.08,128.06,135.30,114.68,53.52,53.68,57.31,58.17,56.55
300529.SZ,健帆生物,98.11,-1.37,26.30,22.21,24.08,39.58,41.35,95.55,106.92,88.38,102.36,85.82,84.81,84.14,83.93,84.55,84.72
002833.SZ,弘亚数控,36.74,-0.97,25.42,28.67,42.52,30.03,51.23,110.97,96.35,102.69,126.33,98.98,37.56,38.18,40.13,37.58,39.53
002294.SZ,信立泰,17.89,0.79,23.43,25.94,28.68,30.82,30.75,91.94,100.40,102.75,83.42,94.24,79.71,81.10,75.22,73.77,73.47
603228.SH,景旺电子,43.44,-3.04,21.97,21.50,34.39,36.46,36.78,100.15,110.43,100.67,133.82,110.46,31.78,32.51,32.26,31.07,31.46
002815.SZ,崇达技术,17.47,-0.34,20.99,20.26,27.48,32.12,37.50,167.29,161.68,120.72,151.10,147.99,32.94,32.61,36.81,36.62,37.93
600660.SH,福耀玻璃,18.76,-0.53,20.81,17.16,18.62,18.88,27.07,140.95,156.38,115.67,115.70,142.09,42.63,42.76,43.07,42.43,42.32
002572.SZ,索菲亚,17.61,-2.28,20.64,21.98,22.55,21.85,18.20,114.67,137.04,179.60,180.76,107.76,37.57,38.17,36.57,37.80,37.36
603338.SH,浙江鼎力,61.51,-2.19,20.05,22.14,17.48,16.78,28.62,86.52,123.15,81.44,89.36,93.85,41.52,41.98,42.28,41.00,43.85
603429.SH,集友股份,35.57,-1.36,20.04,21.41,29.94,29.97,34.59,100.11,100.38,138.34,106.75,138.41,47.26,55.55,51.74,52.52,50.70
603886.SH,元祖股份,17.20,0.59,19.78,18.19,26.80,28.48,22.31,151.17,159.57,228.52,253.74,267.42,64.81,66.33,63.74,62.65,61.55
603203.SH,快克股份,25.71,-0.66,19.72,19.62,37.36,33.04,35.34,87.29,94.15,109.99,113.49,86.61,55.03,58.15,58.47,57.08,57.23
603866.SH,桃李面包,48.65,2.14,19.71,22.36,22.42,30.33,28.19,125.08,127.25,119.27,123.20,117.01,39.68,37.70,36.13,34.89,33.22
600563.SH,法拉电子,45.66,-2.00,19.48,19.56,19.51,17.87,18.28,128.18,97.79,119.14,99.20,98.78,43.24,42.28,42.46,40.23,37.80
300015.SZ,爱尔眼科,39.38,-0.30,18.55,21.74,21.84,19.66,16.91,138.75,179.18,139.13,121.99,146.73,47.00,46.28,46.11,46.59,44.91
603579.SH,荣泰健康,27.24,-1.73,17.60,18.85,55.46,59.36,38.93,104.87,130.13,85.01,150.38,203.22,34.07,38.22,38.16,32.40,30.35
300446.SZ,乐凯新材,13.00,-1.37,17.54,19.77,23.54,28.49,36.32,106.26,112.57,110.73,109.74,128.01,59.73,61.96,63.33,63.98,63.13
600167.SH,联美控股,13.78,-0.79,17.48,17.84,32.74,16.39,17.14,86.03,121.91,146.77,227.87,237.66,52.56,50.00,46.62,42.39,36.77
603039.SH,泛微网络,78.03,-4.05,17.42,16.44,24.86,24.64,27.29,174.47,180.02,188.32,201.75,206.72,95.80,95.41,95.93,96.43,95.24
300616.SZ,尚品宅配,63.90,-3.18,17.08,18.00,35.20,25.79,32.03,136.31,231.27,280.95,326.22,320.03,43.68,45.11,46.19,44.96,44.82
600885.SH,宏发股份,29.07,0.80,16.82,17.91,18.13,16.64,18.02,118.41,103.49,85.55,160.53,81.81,36.84,39.85,39.52,38.70,36.19
002818.SZ,富森美,11.56,-1.95,16.76,16.25,20.42,21.80,19.39,122.64,150.47,150.84,157.83,202.23,70.08,68.96,69.37,69.82,71.66
600236.SH,桂冠电力,4.56,0.00,16.57,17.98,20.07,29.99,16.14,273.09,261.88,222.27,310.15,457.34,51.31,55.05,54.82,58.67,40.65
603040.SH,新坐标,28.30,-0.28,16.42,21.04,21.82,20.97,26.18,102.44,98.84,95.86,95.47,96.70,63.99,63.91,65.11,70.02,72.21
002275.SZ,桂林三金,12.86,-0.70,15.19,18.43,16.33,16.36,20.09,133.48,88.40,136.37,106.90,89.13,72.71,75.91,73.10,72.53,71.69